state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CATEGORY
Puducherry,253.85,237.97,208.31,829.23,834.52,870.21,1211.64,1589.83,1794.51,1837.44,2892.52,3305.11,3529.36,3879.12,4053.3,5033.06,6375.08,6614.39,7137.32,7792.11,9196.69,9811.85,15159.56,15507.37,17238.51,16054.68,17024.66,18283.79,20024.16,23467.78,23672.07,22815.6,23666.38,Net State Domestic Product
Punjab,7504.93,7844.87,8215.16,27067.56,27745.65,28770.62,30889.5,31726.21,33552.1,35326.8,61139.23,63172.24,63994.51,65085.15,69149.37,86108.13,90329.81,100071.79,108738.18,114766.27,122097.25,129983.33,239226.95,251812.59,267515.21,278484.6,294894.86,315782.99,335056.79,353942.47,367558.13,352357.16,376780.82,Net State Domestic Product
Rajasthan,8472.6,7823.37,8996.49,28976.9,34268.92,35530.35,39681.79,44508.51,46457.16,46573.78,74173.85,71764.07,79936.04,70333.18,92712.19,112635.72,120202.28,134349.91,140471.48,152283.54,161159.48,185365.65,395330.93,409802.49,434292.22,465407.73,501921.51,529650.38,557618.21,568101.88,598549.63,583644.95,648141.63,Net State Domestic Product
Sikkim,135.32,144.29,NA,363.81,367.5,402.3,428.97,460.72,493.74,507.52,765.37,814.24,880.59,947.11,1022.35,1510.66,1662.14,1760.03,1862.1,2105.94,3658.6,4027.69,9742.18,9970.33,10589.86,11436.7,12484.21,13415.84,15204.36,15889.06,16587.71,16147.17,17442.45,Net State Domestic Product
Tamil Nadu,12422.99,12755.4,13413.46,51643.29,57943.17,59861.21,62315.7,67822.27,70505.17,74685.04,119703.94,126349.27,123901.02,124521.36,132281.27,193645.03,221587.91,256285.76,272339.84,286743.58,316759.86,359960.5,674478.35,709343.13,750416.16,791915.1,862436.98,922084.31,1000308.16,1071601.9,1099401.76,1094471.12,1181922.77,Net State Domestic Product
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79915.68,92751.45,102977.08,113456.24,128917.56,129267.3,152122.8,325139.34,334204.72,349592.66,372896.74,416892.37,455731.09,498145.46,544440.59,572736.4,537753.29,599614.01,Net State Domestic Product
Tripura,446.86,459,476.21,1619.27,1600.65,1732.69,1923.42,2131.55,2332.75,2532.08,4495.57,4778.49,5433.14,5796.04,6135.7,8169.69,8708.18,9458.04,10082.2,11146.29,12287.29,13214.89,17419.05,18857.21,20623.06,24406.6,23745.31,27203.6,29505.18,32703.15,33694.98,32615.26,35394.6,Net State Domestic Product
Uttar Pradesh,22779.65,22872.87,23119.16,70934.7,74634.95,77046.31,85597.09,84686.48,85310.2,91201.06,156809.34,160014.54,162925.86,168198.14,177053.65,231029.04,244513.74,263935.4,280850.51,302191.93,320988.84,346620.85,645131.55,673552.19,707469.1,729686.3,792048.76,888453.01,922457.51,949184.45,980106.32,910010.74,948838.57,Net State Domestic Product
Uttarakhand,NA,NA,NA,5109.32,5563.9,5509.33,5856.4,5926.89,5998.77,6000.69,11187.19,12581.68,13179.4,14412.83,15552.9,22287.73,25447.71,28514.14,33498.46,37064.22,43407.02,47966.72,101959.63,109528.49,117777.51,125701.66,136143.51,150302.94,162204.79,166518.81,166351.08,156791.58,167486.57,Net State Domestic Product
West Bengal,14457.81,15590.22,16053.52,48397.63,51761.26,55630.83,59495.99,64483.61,68598.38,73527.81,125298.82,129690.99,139057.44,143930.66,152388.34,190028.88,201994.25,217848.88,234797.72,244261.92,263229.87,279190.95,473204.65,492901.17,503951.57,515701.6,546988.05,584910.83,623786.82,659287.89,697554.47,706648.33,NA,Net State Domestic Product
Andaman & Nicobar Island,32.48,32.24,35.29,129.16,129.55,126.45,127.23,125.25,124.5,120.44,157.23,172.45,187.27,209.44,199.04,205.83,147.62,174.54,195.22,209.82,208.43,222.75,226.73,231.44,256.57,268.41,267.66,217.14,264.8,204.55,186.22,NA,NA,Value Added by Agriculture
Andhra Pradesh,4416.89,4514.82,4444.05,16859.75,16479.65,17546.06,18689.69,15072.76,19269,18448.77,31425.34,35911.74,35043.46,31013.04,36715.02,30400.86,29302.56,30052.2,36168.88,35363.93,38187.59,36347.45,47693.66,47931.97,55607.02,55708.42,52970.26,58508.75,68109.35,62917.27,71946.56,70449.33,76215.5,Value Added by Agriculture
Arunachal Pradesh,81.1,99.52,96.53,280.57,255.58,260.2,262.94,275.7,268.24,298.3,424.59,481.62,469.64,470.55,502.16,545.21,509.21,611.79,776.99,663.51,647.2,814.98,2485.03,2732.21,2872.22,2946.74,2588.99,1820.46,1855.02,1859.95,1843.21,1950.18,NA,Value Added by Agriculture
Assam,1305.42,1343.5,1356.09,5021.68,5094.76,5158.14,5120.65,5477.05,5195.22,5188.91,10998.09,10818.27,10746.31,10814.93,10979.85,10680.08,10793.29,10951.04,11361.29,11706.8,12448.62,12834.47,18887.6,22986.56,21716.36,21074.47,22751.22,23904.36,24169.94,24611.7,23193.52,23111.55,NA,Value Added by Agriculture
Bihar,3966.13,3298.85,2970.62,9946.71,11708.82,8880.68,12184.02,9573.93,11428.38,10315.75,14323.15,19882.74,15220.21,19537.65,15701.98,18622.79,15713.31,21043.76,18781.41,23293.76,19087.1,23044.98,39053.14,43675.13,32907.65,30738.14,30639.6,33857.81,36539.69,33834.37,31331.73,34015.79,38068.22,Value Added by Agriculture
Chandigarh,NA,NA,NA,35.4,34.64,34.08,33.3,31.21,29.9,30.92,48.77,46.03,46.79,48.49,51.58,67.77,70.15,69.56,69.45,73.9,63.09,60.78,7.49,6.98,5.94,4.99,4.69,4.27,3.97,3.51,3.33,6.09,NA,Value Added by Agriculture
Chhattisgarh,NA,NA,NA,3718.19,3853.01,3651.81,3726.58,2816.81,3146.92,2866.65,5585.45,3935.24,6040.12,4373.28,6688.21,6399.82,7615.07,7962.16,8911.5,7649.03,8335,10610.63,16461.43,17593.39,18027,18529.31,17787.48,22443.27,17752.59,19964.52,20360.91,21062.89,NA,Value Added by Agriculture
Delhi,150.82,161.3,186.7,770.63,415.9,332.57,305.67,389.18,487.55,432.83,733.73,747.22,738.03,729.02,736.42,1005.77,970.69,981.18,948.83,940.14,1212.46,1311.61,627.41,574.27,513.44,235.98,172.77,172.29,151.12,153.13,161.28,162.33,157.5,Value Added by Agriculture
Goa,61.49,58.62,70.32,225.62,222.58,222.08,239.4,225.09,265.27,298.99,532.71,412.94,380.92,437.38,458.38,545.34,699.66,518.97,565.82,529.83,531.93,530.82,930.81,936.45,1003.26,973.03,935.69,1011.36,1001.38,1020.2,902.84,902.97,NA,Value Added by Agriculture
Gujarat,2684.21,2157.66,3366.31,9230.93,13569.26,11732.31,16237.23,14627.15,15698.61,10628,14920,13005,17754,16201,23878,24803,31896,31372,34750,30683,29339,37769.21,75598.2,58774.81,81870.59,79132.55,72630.47,78166.76,87833.75,70530.5,84301.52,85159.57,NA,Value Added by Agriculture
Haryana,NA,NA,NA,8201.49,8821,8377.74,9328.84,8472.16,8754.38,9161.26,15409.39,15895.52,15813.21,15564.38,16797.38,19844.88,19340.33,22267.84,22058.04,23677.64,23111.9,24189,37656.09,35088.82,35334.49,31857.8,32292.84,36323.29,37352.74,38274.51,38148.43,38882.35,38004.65,Value Added by Agriculture
Himachal Pradesh,381.12,363.77,360.79,1154.77,1149.37,1199.21,1211.99,1213.18,1252.07,1185.58,2608.7,3112.54,3398.5,3480.9,3943.44,4284.94,4471.5,4153.66,4636.47,4376.62,3377.75,4359.94,5069.94,5630.76,6734.14,5777.5,6607.68,5442.59,4709.64,4489.43,5910.01,5153.42,5843.02,Value Added by Agriculture
Jammu & Kashmir,487.44,498.08,503.14,1739.25,2054.12,2061.37,2237.77,2146.16,2245.57,2362.45,4057.88,4050.76,4282.34,4366.62,4767.78,5467.06,5462.32,5543.63,5630.38,5761.75,5744.35,6273.23,6231.42,5489.97,5873.52,3616.64,5796,5619.93,5423.08,6105.97,5432.01,4981.47,5477.72,Value Added by Agriculture
Jharkhand,NA,NA,NA,3048.72,3447.14,3256.48,3462.2,3452.34,3509.68,4141.76,4725.82,4616.34,6369.87,4996.75,5099.58,6233.67,6417.38,7372.97,7761.86,9458.66,8464.17,8881.57,12276.05,13755.17,12972.47,13653.36,9874.6,13041.71,13990.25,10841.72,11988.07,12754.31,16148.54,Value Added by Agriculture
Karnataka,3034.5,3625.88,3751.22,12839.46,12638.11,12903.34,13437.58,13024.37,14817.98,16344.42,27281.33,25087.44,21794.61,19869.31,16877.22,24402.07,27224.34,26094.98,29996.81,30275.72,31376.21,36578.75,48074.46,50416.78,55119.27,50692.94,42281.26,43038.92,57343,50852.91,58732.42,66837.39,66624.29,Value Added by Agriculture
Kerala,1761.35,1818.16,1826.06,6256.03,6896.97,6946.71,7114.66,6776.78,6899.62,7017.05,10469.65,10725.01,10828.32,11075.54,10813.58,13650.71,14371.06,12781.84,12645.32,13684.81,12981.81,11635.37,21566,19276.95,18103.19,17109.98,14448.14,15139.52,15459.33,13909.1,12821.12,13531.7,14171.43,Value Added by Agriculture
Madhya Pradesh,4785.91,4223.22,4624.82,13568.84,13217.4,13605.55,14386.9,14669.18,14720.04,15760.12,21542.64,15142.63,18970.95,14948.76,21309.64,25435.67,27501.08,28188.78,27424.49,30142.66,33027.09,32664.3,68894.45,89160.71,86871.82,87683.49,83573.78,111456.35,108405.89,105914.23,120543.97,126373.87,140025.88,Value Added by Agriculture
Maharashtra,5467.7,4300.46,6133.67,19343.2,18972.6,19659.57,22965.25,19406.4,20981.08,22845.19,34550.54,32878.01,34802.99,35806.25,39768.55,31135.63,34816.47,40966.42,48193.01,38398.24,39856.73,50221.22,96152.52,93955.41,112052.5,91890.37,84262.42,106840.82,100696.45,92086.47,99508.25,125004.49,NA,Value Added by Agriculture
Manipur,104.05,107.71,106.31,355.99,338.79,341.18,366.86,383.97,381.68,409.52,714.38,745,777.28,743.5,868.82,865,868.78,857.97,980.61,1117.22,1314.42,993.9,1203.37,1400.47,1471.74,1557.64,1308.41,1193.41,2445.31,2437.09,2290.64,2152.99,NA,Value Added by Agriculture
Meghalaya,81.78,82.44,65.14,341,342.93,400.72,429.59,436.86,457.69,529.68,707.38,742.17,768.57,815.45,829.23,1002.46,1081.95,1097.76,1083.95,1141.23,1142.9,1150.38,1457.7,1753.6,1777.56,1859.92,1899.72,1896.46,1915.85,1842.03,1765.66,1707.52,1769.57,Value Added by Agriculture
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.97,278.93,278.02,285.33,280.39,327.23,333.63,345.55,432.22,533.25,601.33,727.04,713.21,682.5,777.27,823.84,781.97,812.25,827.46,900.48,905.54,935.63,NA,Value Added by Agriculture
Nagaland,44.11,47.2,51.39,261.01,295.39,265.75,297.72,378.09,400.53,455.29,649.87,889.12,1015.5,1159.52,1226.27,1523.36,1553.08,1561.66,1564.3,1683.03,1737.73,1899.34,1614.08,1892.04,2254.48,2361.93,2331.95,2350.54,2243.32,2020.99,2079.13,2017.4,28052.7,Value Added by Agriculture
Odisha,1489.66,1756.85,1559.35,6174.8,6015.93,6164.76,5247.95,6398.78,6356.01,5690.13,10748.2,9731.91,11580.25,9029.36,11677.13,13678.26,14151.59,14339.33,15087.88,15281,16760.37,17031.36,23232.78,29074.74,25990.28,28693.12,21561.7,27063.96,20769.09,22653.36,27590.21,30667.32,27907.49,Value Added by Agriculture
Puducherry,17.55,19.57,19.7,80.48,97.69,87.26,79.7,66.03,85.23,89.47,144.03,148.37,141.71,129.01,138.52,187.28,208.62,247.07,256.3,317.69,226.21,291.04,110.67,132.06,125.62,149.72,89.18,77.99,78.45,89.23,83.14,50.4,65.92,Value Added by Agriculture
Punjab,3574.34,3849.76,3935.86,12961.66,13206.84,13159.27,14105.5,13353.92,13743.48,14780.24,24037.71,24320.32,24442.68,24025.97,25389.84,28367.85,28512.57,29281.65,30354.66,30906.88,30506.48,30846.77,47442.02,47327.31,48665.14,44951.22,44536.09,47621.61,49231.99,49033.57,48415.81,49298.24,48640.73,Value Added by Agriculture
Rajasthan,3854.19,3261.01,3942.78,9587.26,12322.39,11788.96,14533.46,15103.68,14985.28,12840.72,22319.43,20670.24,26547.33,16640.84,32188.51,25741.05,25740.63,27920.05,28149.26,29459.82,28163.65,40828.64,67164.02,68896.45,74491.23,70280.62,64845.82,67213.87,63426.95,68156.23,77307.48,76638.6,75114.11,Value Added by Agriculture
Sikkim,61.12,61.76,NA,127.64,127.45,137.98,142.9,145.85,108.89,111.4,161.52,172.71,185.41,197.6,213.86,245.74,257.85,264.01,279.79,303.9,315.67,331.21,677.99,703.46,709.8,713.08,715.48,810.71,956.37,1081.45,1139.33,1113.68,1225.15,Value Added by Agriculture
Tamil Nadu,2714.17,3034.74,3100.73,12353.63,13853.78,11876.58,11718.16,12904.18,14160.92,13308.59,19067.69,20067.53,19420.83,14600.64,14215.12,19461.07,21786.51,25298.62,23924.48,23084.66,24577.31,26341.48,50310.26,38492.07,46441.85,48132.62,45543.62,30307.53,39985.78,41029.14,45008.66,48212.28,49688.93,Value Added by Agriculture
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13211.48,16907.77,16613.13,19678.77,20935.41,18013.56,21806.33,29554.35,32547.93,34073.12,26190.91,20722.73,24758.74,27453.68,25268.84,41382.82,41208.09,39075.76,Value Added by Agriculture
Tripura,170.14,164.65,157.26,508.89,466.46,507.8,552.37,565.6,616.63,637.92,1258.48,1120.13,1394.17,1379.05,1453.81,1768.51,1800.45,1947.77,2339.8,2418.13,2344.57,2443.6,3076.8,3257.26,3551.07,3584.15,3543.7,3794.42,4094.01,4571.78,4589.61,4872.06,5167.86,Value Added by Agriculture
Uttar Pradesh,9577.78,9831.21,9604.18,28357.47,29369.89,29885.29,32721.41,30642.71,30797.72,33700.73,55675.72,55798.94,56417.68,56188.58,58336.98,64551.57,65902.34,67208.58,69221.05,71695.08,70439.12,73111.99,111431.5,116759.34,112445.14,104345.77,109559.96,116979.21,120925.09,126535.84,125744.53,128652.6,129943.59,Value Added by Agriculture
Uttarakhand,NA,NA,NA,1763.44,1867.28,2006.41,2018.43,2000.31,2045.45,2034.48,3067.53,3349.55,3116.21,3272.77,3440.85,3675.37,3474.65,3644.94,3678.73,3345.26,3828.57,3947.15,6547.67,6554.89,5977.41,5771.97,5097.25,5438.19,5427.75,5290.12,5433.23,5838.47,6017.85,Value Added by Agriculture
West Bengal,3929.67,4476.96,4493.37,14558.75,15916.3,16127.38,17184.63,18851.07,17975.48,18520.48,34371.65,33895.89,37297.34,36200.18,37368.11,38530.49,39189.44,39503.32,41882.76,40201.93,43549.13,42288.35,69397.66,72110.11,70395.77,75238.72,74506.3,76252.48,80170.48,79815.56,80152.52,84743.73,NA,Value Added by Agriculture
Andaman & Nicobar Island,6.55,5.7,14.05,38.48,46.39,42.92,56.38,57.69,34.55,34.89,30.71,22.4,18.16,16.24,28.55,16.62,13.12,16.38,19.33,19.28,18.83,19.14,50.52,50.98,53,35.12,62.77,70.39,59.07,51.88,44.72,NA,NA,Value Added by Manufacturing
Andhra Pradesh,2221.5,2445.69,2239.54,6400.32,7311.13,8165.95,8834.63,8874.53,9291.84,8971.3,12368.21,11965.38,12741.54,14075.12,15459.8,11790.75,11825.16,12654.58,14079.31,14594.16,15126.35,15709.43,39691.53,30472.49,27014.06,37217.3,42967.78,43060.91,47585.27,57343.53,57374.88,55896.75,62789.11,Value Added by Manufacturing
Arunachal Pradesh,13.97,15.16,16.48,25.36,26.61,30.67,38.55,27.38,29.16,26.92,46.92,54.78,51.37,55.49,51.93,70.69,78.46,89.37,102.29,103.04,105.94,119.86,99.34,113.38,151.61,606.12,401.63,455.56,337.63,455.65,182.57,208.05,NA,Value Added by Manufacturing
Assam,221.75,222.62,209.73,1134.46,1208.92,1206.19,1195.96,1326.2,1161.71,1287.11,2275.25,1878.47,2196.89,2909.43,3336.57,4324.3,3934.14,3803.55,3364.38,3113.03,4204.59,4412.18,12746.88,11995.93,14445.23,15731.98,20993.6,25869.28,29754.8,29603.01,30532.59,34410.09,NA,Value Added by Manufacturing
Bihar,1620.49,1706.48,1326.51,926.95,830.04,656.88,655.04,1387.01,357.43,1043.59,3153.2,2890.57,2619.22,2823.11,2668.77,3437.45,3175.74,3411.16,4478.77,5588.94,5120.61,6471.25,12680.69,7896.07,16912.89,23760.58,21270.02,26967.45,28217.58,27331.51,28253.56,26258.98,26569.78,Value Added by Manufacturing
Chandigarh,NA,NA,NA,279.87,291.31,295.28,326.5,358.2,369.24,380.85,348.91,335.15,296.78,322.06,338.88,489.74,457.43,548.62,631.12,638.37,781.22,792.53,915.08,1006.09,1158.12,837.13,853.6,1062.13,926.28,1150.51,1104.27,1110.07,NA,Value Added by Manufacturing
Chhattisgarh,NA,NA,NA,2299.64,2152.15,2121.17,2299.07,3426.47,3352.94,2308.45,2726.64,2502.9,2328.8,3238.38,4219.52,8202.38,5854.75,9668,11044.56,10779.15,8838.63,7460.23,20968.73,23134.79,32433.14,29208.43,29951.28,25399.59,30331.79,33220.79,33869.65,33595.33,NA,Value Added by Manufacturing
Delhi,1103.66,1260.25,1198.78,3154.72,4129.82,3015.08,2878.92,3246.21,3515.56,3668.64,5307.47,4935.91,4876.26,5566.21,4994.82,6371.93,6936.08,7432.95,8326.18,7951.21,8156.77,9484.56,15911.19,18920.53,19920.32,17448.14,25002.09,23853.6,23894.23,24188.47,25539.94,25235.27,33674.05,Value Added by Manufacturing
Goa,178.36,186.64,229.75,516.13,436.8,475.72,590.84,552.36,846.43,959.42,1421,1547.95,1619.79,1719.08,1861.37,3110.27,3381.97,3788.47,3916.05,4090.95,4408.07,4918.29,15083.57,12942.46,9222.61,16109.89,18848.49,20442.76,20914.55,21652.06,21138.84,20709.8,NA,Value Added by Manufacturing
Gujarat,3127.88,2435.49,3996.52,11104.62,13704.94,14867.46,17017.14,15091.3,16211.37,17529,24480,20947,19837,24163,27886,40265,46822,52472,56893,58361,77706,78320.84,111849.24,150402.79,153005.2,185754.85,214718.26,240424.21,266689.61,302426.02,325335.26,308125.02,NA,Value Added by Manufacturing
Haryana,NA,NA,NA,3588.78,3956.94,4286.02,4562.59,4849.29,5093.91,5227.66,8633.43,9157.65,9640.85,10377.99,11300.79,16282.05,17608.01,19007.76,20056.38,20068.16,22889.12,24125.86,44547.29,52530.32,58048.55,60954.52,72077.08,83353.98,85024.6,97892.45,107643.41,106997.55,119623.26,Value Added by Manufacturing
Himachal Pradesh,116.12,138.63,134.88,299.52,420.81,494.01,617.04,656.8,675.89,865.13,1230.47,1350.19,1357.08,1460.07,1532.21,2233.92,2265.23,2630.49,2383.81,3022.1,4041.29,4503.28,13931.82,15040.07,16831.99,18410.69,20878.32,26545.15,29979.39,33210.35,33302.67,30791.01,34286.1,Value Added by Manufacturing
Jammu & Kashmir,97.28,92.74,92.91,476.51,413.96,415.77,398.42,402.04,428.82,459.81,514.07,474.51,465.76,486.97,505.7,1257.25,1376.75,1544.43,1700.53,2008.69,2224.05,2356.57,6242.72,5803.59,5955.88,6091.43,7471.46,7425.84,7730.73,7426.42,6766.16,6539,6815.01,Value Added by Manufacturing
Jharkhand,NA,NA,NA,2926.32,3046.77,3435.94,2263.71,5180.08,5983.36,5259.19,7550,3669.5,2891.19,5684.04,6358.21,17530.23,12829.14,10632.8,18763.28,10896.66,11855.19,13160.6,27404.97,33882.95,31036.21,34626.73,25201.29,34211.97,39159.07,48836.48,43975.78,44007.38,46687.28,Value Added by Manufacturing
Karnataka,1640.56,1825.71,1824.34,6502.82,7223.75,7082.99,7723.04,8392.28,10059.87,8360.56,10431.65,10211.19,11162.12,14078.26,14476.67,23402.18,23438.59,30786.16,32109.48,35973.02,32127.04,34249.19,83435.01,87782.47,90818.37,90194.7,113020.92,148873.47,150689.56,156654.77,149380.39,138847.15,150077.67,Value Added by Manufacturing
Kerala,798.71,824.42,893.79,2698.32,3258.89,3537.51,3405.5,3290.21,3504.58,3696.87,5558.66,5605.39,5229.58,5449.9,5709.55,8086.08,8247.12,8843.35,10682.08,10524.21,10495.07,11792.23,30006.16,34044.2,32266.09,32760.47,42262.12,50599.2,54436.64,50990.28,47698.34,43435.19,48536.73,Value Added by Manufacturing
Madhya Pradesh,1769.58,1314.26,1637.44,4019.38,4756.12,5131.25,5336.7,6089.72,6249.42,6448.79,7598.89,7092.83,6744.72,5770.04,5738.22,9801.86,10634.82,14121.05,14551.3,17352.44,18771.48,17181.46,29678.96,21598.34,25751.61,26401.89,37052.3,41745.15,45644.35,61354.17,57745.3,52784.33,59644.32,Value Added by Manufacturing
Maharashtra,7674.62,7539.4,8242.67,24328.25,24604.77,28947.95,28866.75,33009.17,30665.89,32868.97,41343.07,35752.03,33766.31,37527.9,41871.23,67328.16,88634.96,106292.24,116854.45,105833.82,114901.01,131786,206804.09,222020.71,250478.69,263691.06,296267.76,321905.89,328746.49,338133.62,330598.81,286774.63,NA,Value Added by Manufacturing
Manipur,18.95,18.68,19.4,84.37,81.64,85.7,92.69,94.48,108,130.61,174.84,186.64,179.59,186.59,192.8,188.94,201.26,229.5,274.4,261.46,276.62,285.59,328.58,205.86,325.05,314.71,430.71,449.22,431.07,413.94,369.08,341.75,NA,Value Added by Manufacturing
Meghalaya,12.62,14.18,15.06,33.65,41.07,42.34,45.7,38.75,36.73,42.48,50.25,52.17,51.26,83.52,93.93,128.52,233.76,390.36,424.91,411.27,464.31,540.4,4260.23,4222.28,3381.81,2730.5,1093.72,1405.01,1825.68,1924.67,2282.29,2204.36,2683.75,Value Added by Manufacturing
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.63,14.94,15.23,14.44,15.92,26.32,26.34,31.62,39.86,36.9,33.87,36.52,49.68,52.53,55.7,57.02,85.1,91.72,84.53,89.87,108.33,101.81,NA,Value Added by Manufacturing
Nagaland,19.08,19.21,22.05,37.57,45.31,80.65,98.13,99.88,34.48,12.49,45.7,48.52,55.16,62.33,66.34,85.11,104.74,120.28,139.18,118.85,168.41,134.26,111.53,139.06,95.37,114.1,178.76,215.85,217.39,245.92,222.73,215.94,NA,Value Added by Manufacturing
Odisha,486.92,589.15,582.57,1168.9,1426.91,1610.37,1068.17,1003.71,1545.57,1985.84,3150.25,2823.73,2398.41,2872.64,3527.92,6267.06,5423.99,7173.4,9143.77,10568.56,5464.07,4530.36,32736.08,32597.01,37980.66,32510.93,34767.64,48589.79,62530.89,76139.9,64844.01,69100.01,81096.81,Value Added by Manufacturing
Puducherry,60.16,62.93,69.55,216.37,204.88,171.26,494.48,822.8,864.54,811.61,1035.57,1341.36,1555.49,1750.34,1889.73,1646.49,2564.71,2279.17,2254.31,2581.45,3257.24,2982.28,3681.61,3500.79,4807.49,3472.23,4235.11,4480.06,4991.92,9117.37,7796.96,7684.29,7880.04,Value Added by Manufacturing
Punjab,1221.41,1295.74,1418.61,3898.05,4085.21,4312.57,4499.26,4702.52,5054.33,5228.15,8249.63,8495.02,7844.12,8307.68,8613.45,12072.08,13146.77,16441.21,20046.68,20509.48,23490.66,25726.22,29408.58,30925.52,32579.29,34937.24,37511.96,41239.48,43850.19,45811.77,45990.21,45938.62,49035.2,Value Added by Manufacturing
Rajasthan,950.98,867.3,934.07,3240.01,4457.94,4971.34,4525.11,5842.87,5627.97,6728.89,8016.1,7537.4,6904.66,6685.93,6875.8,12698.14,14205.62,17980.82,18171.7,19766.44,22863.34,20625.89,56894.22,43163.04,37998.57,43793.36,57516.51,59141.3,59771.74,68009.08,65711.19,59271.89,73350.18,Value Added by Manufacturing
Sikkim,6.2,6.49,NA,20.66,19.73,20.77,21.81,21.81,21.92,21.87,31.56,33.02,33.32,34.71,37.07,63.95,65.3,70.36,81.06,88.34,1136.99,1614.04,4133.8,4116.67,4433.82,4997.78,5558.5,6276.27,6991.5,7331.32,7008.89,6731.47,7216,Value Added by Manufacturing
Tamil Nadu,3002.78,2705.4,2896.95,13069.85,14805.59,16597.15,16092.9,15805.96,14561.16,16032.59,20966.12,22515.75,19582.93,20151.39,22682.95,32823.83,38095.94,45533.05,45347.77,43152.13,57483.74,65952.77,121634.83,138876.93,125691.47,128427.43,166484.95,190330.37,213277.39,231971.49,228223.51,224117.66,247539.67,Value Added by Manufacturing
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8894.27,9997.28,12842.99,12260.45,15467.51,15182.96,19543.86,52925.15,43625.66,43501.48,39854.11,54923.96,55948.6,61026.79,72079.25,69993.58,67687.03,75002.11,Value Added by Manufacturing
Tripura,14.8,19.28,19.34,52.89,49.65,51.59,51.18,51.7,24.79,48.78,91.03,195.17,144,119.29,145.68,328.93,215.88,240.21,261.1,257.32,286.04,410.68,624.62,1052.42,965.42,1347.35,985.03,1339.64,1169.36,1070.09,1198.61,1162.56,1287.46,Value Added by Manufacturing
Uttar Pradesh,3404.31,3327.96,3409.19,9234.94,10825.09,11023.96,13401.36,12276.36,10142.6,11120.3,17382.74,16415.88,15979.28,17222.47,17735.16,27387.19,28459.71,34689.78,36816.81,33345.39,40485.73,44389.21,69194.42,73926.73,85527.94,74657.09,94348.58,154477.3,134014.6,124100.68,126546.95,119355.01,127123.61,Value Added by Manufacturing
Uttarakhand,NA,NA,NA,739.18,1048.88,660.78,883.54,701.47,466.51,427.71,967.28,1394.11,1249.55,1718.87,1857.78,2499.51,3773.11,4446,6610.87,7394.82,8876.18,10438.3,37411.91,42295.89,44011.4,47195.55,52332.68,57965.29,62167.12,61932.03,59271.48,58235.14,59697.7,Value Added by Manufacturing
West Bengal,2559.34,2690.74,2734.35,7561.53,7893.96,9093.4,9527.33,10213.83,10763.66,11703.3,10704.24,11220.73,11631.95,12934.1,13365.58,17744.49,17102.48,19620.13,22277.78,21753.08,23535.85,25945.87,57802.69,58763.62,59432.62,52740.87,67298.82,78834.96,87780.91,104621.23,110608.28,102098.41,NA,Value Added by Manufacturing
Andaman & Nicobar Island,5.04,5.73,5.84,56.86,87.34,81.58,83.58,105.33,90.91,123,58.79,58.96,75.85,113.91,179.29,408.92,489.79,713.2,838.96,662.3,630,695.41,507.58,533.54,575.09,601.91,661.93,747.9,860.09,795.26,862.99,NA,NA,Value Added by Construction
Andhra Pradesh,606.51,614.37,617.57,2741.81,3130.96,3178.59,3180.87,3659.6,3829.69,4335.74,6859.01,7631.19,8242.25,8092.45,8726.82,8081.22,9782.81,10775.17,12175.65,13537.86,13758.87,12793.55,35316.27,33711.04,34756.63,37490.96,37418.91,40708.49,40500.91,42129.6,42264.94,39885.43,44391.74,Value Added by Construction
Arunachal Pradesh,41.56,43.07,41.35,164.44,144.24,237.18,157.28,154.63,155.78,141.86,218.16,209.65,471.63,329.02,376.45,673.05,714.89,683.56,811,1037.2,847.21,1048.88,995.95,947.48,1038.3,1627.45,1351.23,1390.8,1616.25,1392.05,1519.95,1243.43,NA,Value Added by Construction
Assam,152.21,156.2,155.31,667.58,744.52,685.88,805.98,775.14,862.08,601.12,1391.49,1707.03,1874.25,1901.39,2310.22,3287.43,3040,3153.05,3237.34,4972.28,5400.3,5467.14,11318.58,11165.43,12634.21,13498.52,14200.13,16246.51,17341.64,16891.7,19083.55,17724.35,NA,Value Added by Construction
Bihar,684.44,696.43,741.38,736.95,639.96,711.03,784.56,847.59,1072.59,1462.39,1864.37,1872.18,2069.36,2479.86,2403.68,4906.2,6080.73,7554.68,8921.75,10114.71,12685.01,17004.52,25764.08,24235.45,25436.84,24237.66,26866.24,27799.4,29366.82,31930.17,31795.79,29151.95,30996.46,Value Added by Construction
